epoch,accuracy,loss,val_accuracy,val_loss
0,0.3492942154407501,1.336530089378357,0.44092220067977905,1.2815806865692139
1,0.6446166634559631,1.0080195665359497,0.6426513195037842,0.936145007610321
2,0.79213947057724,0.5923593044281006,0.6887608170509338,0.8128224015235901
3,0.847771942615509,0.4247414469718933,0.7089337110519409,0.7537594437599182
4,0.8845834732055664,0.3360382318496704,0.6945244669914246,0.81099933385849
5,0.9050650596618652,0.27995187044143677,0.6829971075057983,0.8611091375350952
6,0.922225296497345,0.23166605830192566,0.6685879230499268,0.9302862286567688
7,0.9349570870399475,0.19774885475635529,0.6829971075057983,0.9917196035385132
8,0.9487960338592529,0.16723757982254028,0.6858789920806885,1.0289452075958252
9,0.9576529264450073,0.14321480691432953,0.6887608170509338,1.1263759136199951
10,0.9659562706947327,0.12666980922222137,0.6829971075057983,1.166190266609192
11,0.9659562706947327,0.11447907984256744,0.6945244669914246,1.2244350910186768
12,0.9687240719795227,0.10576550662517548,0.6685879230499268,1.3036786317825317
13,0.9692776203155518,0.10064724832773209,0.6743515729904175,1.327244520187378
14,0.9723221659660339,0.09483424574136734,0.6829971075057983,1.3769779205322266
15,0.974259614944458,0.08452048152685165,0.6772334575653076,1.40633225440979
16,0.973429262638092,0.08280615508556366,0.6887608170509338,1.4717812538146973
17,0.9775809645652771,0.07622318714857101,0.6858789920806885,1.4275548458099365
18,0.9761970639228821,0.07296665012836456,0.6714697480201721,1.5070682764053345
19,0.9781345129013062,0.06898243725299835,0.6772334575653076,1.5801661014556885
20,0.975643515586853,0.07615296542644501,0.6714697480201721,1.5339744091033936
21,0.9759202599525452,0.07528737187385559,0.6714697480201721,1.5823148488998413
22,0.976473867893219,0.06862226128578186,0.6657060384750366,1.6092643737792969
23,0.9767506122589111,0.06605962663888931,0.6599423885345459,1.5924582481384277
24,0.977027416229248,0.06251494586467743,0.6628242135047913,1.681283712387085
